wikipedia_url,work_qid
https://en.wikipedia.org/wiki/Newton%27s_Wake:_A_Space_Opera,Q7020012
https://en.wikipedia.org/wiki/Learning_the_World,Q6510209
https://en.wikipedia.org/wiki/Michaelmas_(novel),Q6835650
https://en.wikipedia.org/wiki/Liege-Killer,Q6544117
https://en.wikipedia.org/wiki/Night_Sky_Mine,Q7033462
https://en.wikipedia.org/wiki/Life_During_Wartime_(novel),Q6544767
https://en.wikipedia.org/wiki/Nova_Swing,Q7064327
https://en.wikipedia.org/wiki/Moonseed_(novel),Q6907938
https://en.wikipedia.org/wiki/Love_%26_Sleep,Q6690221
https://en.wikipedia.org/wiki/The_Quantum_Thief,Q6303649
https://en.wikipedia.org/wiki/Koko_(novel),Q6426705
https://en.wikipedia.org/wiki/Origin_(Baxter_novel),Q6749555
https://en.wikipedia.org/wiki/Rule_34_(novel),Q7378920
https://en.wikipedia.org/wiki/Roadmarks,Q7339610
https://en.wikipedia.org/wiki/Riddley_Walker,Q7332458
https://en.wikipedia.org/wiki/Summertide,Q7637680
https://en.wikipedia.org/wiki/Probability_Sun,Q7246870
https://en.wikipedia.org/wiki/Soldier_of_Sidon,Q7557345
https://en.wikipedia.org/wiki/River_of_Blue_Fire,Q7338006
https://en.wikipedia.org/wiki/Star_Light,Q7600780
https://en.wikipedia.org/wiki/Perfect_Circle_(novel),Q7167954
https://en.wikipedia.org/wiki/Orbital_Resonance_(novel),Q7100063
