author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender
Q16204372,2017-06-13T00:00:00Z,,Raven Stratagem,Yoon Ha Lee,Q62625624,2018,2,0,15,39.0,United States,trans man
Q16204372,2018-06-12T00:00:00Z,,Revenant Gun,Yoon Ha Lee,Q62625842,2019,2,0,21,40.0,United States,trans man
Q16208205,2013-07-15T00:00:00Z,,Warbound,Larry Correia,Q122425405,2014,1,0,0,37.0,United States,male
Q16211413,2017-09-05T00:00:00Z,,Sourdough,Robin Sloan,Q131382753,2018,1,0,0,39.0,United States,male
Q16221657,2011-04-25T00:00:00Z,,Mechanique: a Tale of the Circus Tresaulti,Genevieve Valentine,Q122452553,2011,1,0,0,30.0,,female
Q16221657,2015-03-10T00:00:00Z,,Persona,Genevieve Valentine,Q131382314,2016,1,0,8,35.0,,female
Q16221657,2016-06-28T00:00:00Z,,Icon,Genevieve Valentine,Q131382365,2017,1,0,9,36.0,,female
Q1633338,2000-01-01T00:00:00Z,,Eternity's End,Jeffrey Carver,Q122452547,2001,1,0,0,52.0,United States,male
Q1669902,1979-10-01T00:00:00Z,,The Day of the Klesh,M. A. Foster,Q131374854,1980,1,0,1,41.0,United States,male
Q1669902,1980-10-01T00:00:00Z,,Waves,M. A. Foster,Q131374955,1981,1,0,2,42.0,United States,male
Q1669902,1983-04-01T00:00:00Z,,Transformer,M. A. Foster,Q131375488,1984,1,0,3,45.0,United States,male
Q16727672,2022-03-29T00:00:00Z,,Sweep of Stars,Maurice Broaddus,Q131382896,2023,1,0,1,48.0,United Kingdom,male
Q167821,1978-01-01T00:00:00Z,,Kalki,Gore Vidal,Q6353404,1978,1,0,0,53.0,United States,male
Q1684007,2000-01-01T00:00:00Z,,The Grand Ellipse,Paula Volsky,Q131417542,2001,1,0,1,1.0,,female
Q1697118,1986-01-01T00:00:00Z,1804797.0,Replay,Ken Grimwood,Q1590481,1988,1,1,0,44.0,United States,male
Q1701097,1978-06-01T00:00:00Z,,The Road to Corlay,"John Middleton Murry, Jr.",Q122452526,1979,2,0,11,53.0,United Kingdom,male
